Latitude,Longitude,Location ID,Cluster_Label
49.263265,-123.254586,CSTB,1
49.254404,-123.244336,STAD,0
49.263533,-123.245986,PUDP,1
49.268123,-123.249399,SRC,1
49.260306,-123.239585,SORO,0
49.262122,-123.242367,PART,0
49.267965,-123.253406,IBLC,1
49.264444,-123.254949,SOWK,1
49.266365,-123.255681,MATH,1
49.267786,-123.258756,INTL,1
49.264409,-123.25459,BINN,1
49.261566,-123.252424,STOR,1
49.267559,-123.257128,MUSC,1
49.262414,-123.248245,EDC,1
49.264544,-123.24716,WLIB,1
49.251801,-123.233518,MAGN,0
49.254624,-123.233401,PATH,0
49.262201,-123.252889,CIRS,1
49.270423,-123.253129,ALRD,1
49.244856,-123.229122,LPRC,0
49.26175,-123.245434,DNRG,1
49.264149,-123.2481,SPPH,1
49.250021,-123.230429,MTIN,0
49.263247,-123.250791,BEBC,1
49.254435,-123.238776,UHIL,0
49.270598,-123.251023,SOMH,1
49.27234,-123.249397,STMK,1
49.2713,-123.248907,CARY,1
49.254931,-123.235434,TAPS,0
49.271498,-123.25233,CHPL,1
49.25241,-123.234853,SAIL,0
49.254291,-123.232145,LAUR,0
49.263263,-123.243484,AMBS,1
49.253431,-123.233195,CRSW,0
49.270487,-123.251961,STAH,1
49.26448,-123.249745,MSL,1
49.265951,-123.256829,WMAX,1
49.261988,-123.241395,TRMH,0
49.270541,-123.256231,MBOL,1
49.26761,-123.255628,LASR,1
49.254913,-123.23451,WSBT,0
49.253289,-123.234082,LARK,0
49.264,-123.244339,CBH,1
49.26418,-123.246923,BIRC,1
49.251561,-123.236576,PROD,0
49.262373,-123.249265,ENSC,1
49.260275,-123.2509,ORCH,1
49.252966,-123.234305,ULTM,0
49.261661,-123.246488,GMGB,1
49.254553,-123.236552,WPRO,0
49.253413,-123.235211,PACC,0
49.272677,-123.249163,STMD,1
49.257305,-123.249114,WSTR,1
49.267368,-123.253657,CLCK,1
49.253092,-123.233927,SPRT,0
49.262932,-123.255505,PARW,1
49.259139,-123.238034,PSAB,0
49.260951,-123.24235,THUN,0
49.244975,-123.227968,COMP,0
49.254273,-123.232611,KEEN,0
49.251059,-123.233608,NOBL,0
49.255496,-123.233191,ACDY,0
49.255215,-123.235613,TELS,0
49.25541,-123.233741,SAGE,0
49.254225,-123.235653,MEWS,0
49.254295,-123.237426,WCOM,0
49.253843,-123.235696,YUYU,0
49.271006,-123.25226,COST,1
49.258985,-123.248493,OBCC,1
49.258526,-123.250125,CASC,1
49.25861,-123.232868,BALM,0
49.258749,-123.235916,CHAT,0
49.258732,-123.234382,BRIS,0
49.258235,-123.246928,REFL,1
49.270902,-123.251478,ARGW,1
49.258928,-123.248899,GARD,1
49.258233,-123.248609,HAWT,1
49.270737,-123.249353,CORS,1
49.262875,-123.241703,SITK,0
49.257817,-123.24801,LGCY,1
49.271552,-123.24963,ARGE,1
49.27088,-123.250325,IONA,1
